,time,stockId,stockName,title,url
34,15/09/2023 22:11,83199,工銀南方國債－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501284_c.xlsx
35,15/09/2023 22:11,01950,帝王實業控股,公告及通告 - [其他-業務發展最新情況],/listedco/listconews/sehk/2023/0915/2023091501282_c.pdf
36,15/09/2023 22:07,0303883038,恒生Ａ股低碳恒生Ａ股低碳－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501280_c.xlsx
37,15/09/2023 22:07,0303303193828228300583147,南方恒生科技南方中證５Ｇ南方Ａ５０－ＲＸ南方中五百－ＲＸ南方中創業－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501278_c.xlsx
38,15/09/2023 22:05,03136,恒指ＥＳＧＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501276_c.xlsx
39,15/09/2023 22:05,00444,SINCEREWATCH HK,公告及通告 - [末期業績 / 核數師發出「非標準報告」 / 復牌],/listedco/listconews/sehk/2023/0915/2023091501274_c.pdf
40,15/09/2023 22:03,0313083130,恒生滬深三百恒生滬深三百－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501272_c.xlsx
41,15/09/2023 22:01,00753,中國國航,公告及通告 - [其他-營運業績最新情況 / 內幕消息],/listedco/listconews/sehk/2023/0915/2023091501270_c.pdf
42,15/09/2023 22:01,03032,恒生科技ＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501268_c.xlsx
43,15/09/2023 22:01,08156,國藥科技股份,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/gem/2023/0915/2023091501266_c.pdf
44,15/09/2023 22:01,02018400754069940700,瑞聲科技AAC N2411AAC N2606AAC N3106,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501264_c.pdf
45,15/09/2023 22:00,07200072260728807300075000755207588,ＦＬ二南方恒指ＸＬ二南方恒科ＦＬ二南方國指ＦＩ南方恒指ＦＩ二南方恒指ＸＩ二南方恒科ＦＩ二南方國指,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501262_c.xlsx
46,15/09/2023 21:59,83168,恒生人幣金ＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501260_c.xlsx
47,15/09/2023 21:58,08156,國藥科技股份,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換審核委員會成員],/listedco/listconews/gem/2023/0915/2023091501258_c.pdf
48,15/09/2023 21:57,0312883128,恒生Ａ股龍頭恒生Ａ股龍頭－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501256_c.xlsx
49,15/09/2023 21:55,02838,恒生富時中國５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501254_c.xlsx
50,15/09/2023 21:53,0282882828,恒生中國企業恒生中國企業－R,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501252_c.xlsx
51,15/09/2023 21:49,00241,阿里健康,公告及通告 - [股份計劃],/listedco/listconews/sehk/2023/0915/2023091501250_c.pdf
52,15/09/2023 21:47,01725,香港航天科技,委任代表表格,/listedco/listconews/sehk/2023/0915/2023091501248_c.pdf
53,15/09/2023 21:47,06116,拉夏貝爾,公告及通告 - [內幕消息 / 其他-訴訟 / 發行人、其控股公司或主要附屬公司結束營業及清盤],/listedco/listconews/sehk/2023/0915/2023091501246_c.pdf
54,15/09/2023 21:44,03686,祈福生活服務,公告及通告 - [關連交易 / 持續關連交易],/listedco/listconews/sehk/2023/0915/2023091501244_c.pdf
55,15/09/2023 21:44,06116,拉夏貝爾,公告及通告 - [內幕消息 / 發行人、其控股公司或主要附屬公司結束營業及清盤],/listedco/listconews/sehk/2023/0915/2023091501242_c.pdf
56,15/09/2023 21:44,01725,香港航天科技,公告及通告 - [股東特別大會通告],/listedco/listconews/sehk/2023/0915/2023091501240_c.pdf
57,15/09/2023 21:43,01821,ESR,公告及通告 - [發行可轉換證券 / 根據一般性授權發行股份],/listedco/listconews/sehk/2023/0915/2023091501238_c.pdf
58,15/09/2023 21:39,01725,香港航天科技,通函 - [發行可轉換證券 / 發行股份],/listedco/listconews/sehk/2023/0915/2023091501236_c.pdf
59,15/09/2023 21:38,00811,新華文軒,公告及通告 - [海外監管公告-其他],/listedco/listconews/sehk/2023/0915/2023091501233_c.pdf
60,15/09/2023 21:36,01189,大灣區聚變力量,公告及通告 - [更改公司網址],/listedco/listconews/sehk/2023/0915/2023091501232_c.pdf
61,15/09/2023 21:35,03759,康龍化成,公告及通告 - [海外監管公告-其他],/listedco/listconews/sehk/2023/0915/2023091501229_c.pdf
62,15/09/2023 21:34,03768,滇池水務,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501228_c.pdf
63,15/09/2023 21:32,00811,新華文軒,公告及通告 - [股權出現變動],/listedco/listconews/sehk/2023/0915/2023091501226_c.pdf
64,15/09/2023 21:31,01942,馬可數字科技,公告及通告 - [根據一般性授權發行股份 / 發行可轉換證券],/listedco/listconews/sehk/2023/0915/2023091501224_c.pdf
65,15/09/2023 21:28,06690,海爾智家,翌日披露報表 - [股份購回],/listedco/listconews/sehk/2023/0915/2023091501222_c.pdf
66,15/09/2023 21:23,08619,WAC HOLDINGS,公告及通告 - [更換公司秘書],/listedco/listconews/gem/2023/0915/2023091501220_c.pdf
67,15/09/2023 21:22,00840,天業節水,公告及通告 - [持續關連交易],/listedco/listconews/sehk/2023/0915/2023091501218_c.pdf
68,15/09/2023 21:17,00975,MONGOL MINING,公告及通告 - [發行債務證券 / 內幕消息],/listedco/listconews/sehk/2023/0915/2023091501216_c.pdf
